movie_id,rating_avg,total_uu_cnt,admin,artist,college_grad_student,customer_service,doctor_healthcare,educator,executive_managerial,farmer,homemaker,k_12_student,lawyer,marketing,other,programmer,retired,scientist,self_employed,technician_engineer,tradesman_craftsman,unemployed,writer,age_18_24,age_25_34,age_35_44,age_45_49,age_50_55,age_55_plus,under_18,female,male,action,adventure,animation,childrens,comedy,crime,documentary,drama,fantasy,filmnoir,horror,musical,mystery,romance,scifi,thriller,war,western,classic_mv,new_mv,old_mv,recent_mv
1,4.146846413095811,2077,67,86,297,39,76,157,201,2,35,94,35,107,270,140,17,55,77,168,21,25,108,448,790,423,143,108,53,112,591,1486,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,3.20114122681883,701,21,34,103,15,28,53,69,3,8,31,11,30,104,35,2,19,29,54,14,10,28,154,261,143,52,45,10,36,176,525,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3,3.01673640167364,478,22,18,66,8,21,37,44,1,8,15,11,24,67,25,11,9,24,35,7,6,19,107,176,81,33,33,30,18,136,342,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
4,2.7294117647058824,170,6,6,28,5,8,21,18,0,0,2,0,6,28,9,2,2,7,10,1,2,9,39,77,28,12,7,4,3,85,85,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,3.0067567567567566,296,14,9,43,9,12,26,35,1,7,13,5,20,37,16,0,2,13,11,3,5,15,65,117,58,18,20,3,15,108,188,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,3.8787234042553194,940,24,41,143,22,29,57,105,4,4,16,21,62,122,54,9,21,41,79,10,19,57,221,416,158,45,52,27,21,129,811,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
7,3.410480349344978,458,20,24,56,7,14,38,49,1,20,12,8,33,60,26,9,7,19,21,4,8,22,74,180,96,41,31,22,14,204,254,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
8,3.014705882352941,68,1,1,16,0,1,4,2,0,3,11,2,1,12,1,1,0,3,4,0,0,5,25,13,10,3,3,2,12,28,40,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,2.656862745098039,102,1,1,20,3,5,6,9,1,0,5,1,4,23,5,1,2,5,7,0,2,1,31,41,16,6,3,2,3,10,92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,3.5405405405405403,888,23,36,150,20,25,60,97,4,10,37,9,52,109,51,7,21,41,82,9,9,36,216,365,141,55,48,19,44,134,754,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
