user_id,admin,artist,college_grad_student,customer_service,doctor_healthcare,educator,executive_managerial,farmer,homemaker,k_12_student,lawyer,marketing,other,programmer,retired,scientist,self_employed,technician_engineer,tradesman_craftsman,unemployed,writer,age_18_24,age_25_34,age_35_44,age_45_49,age_50_55,age_55_plus,under_18,female,male,action,adventure,animation,childrens,comedy,crime,documentary,drama,fantasy,filmnoir,horror,musical,mystery,romance,scifi,thriller,war,western,classic_mv,new_mv,old_mv,recent_mv
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,5,18,20,14,2,0,21,3,0,0,14,0,6,3,3,2,0,6,13,10,24
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,56,19,0,0,25,12,0,79,1,1,2,0,3,24,17,31,15,3,4,23,29,73
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,23,25,3,3,30,0,0,8,2,0,3,1,1,5,6,5,2,6,0,8,11,32
4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,19,6,0,1,0,1,0,6,2,0,3,0,0,2,9,4,3,2,1,2,12,6
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,31,9,4,6,56,21,6,104,0,3,10,3,8,30,15,39,6,1,2,62,5,129
6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,11,8,9,16,32,2,0,22,2,0,0,19,0,34,2,3,5,8,2,15,16,38
7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,29,8,0,0,3,2,0,8,0,0,1,0,1,3,10,15,4,0,0,6,3,22
8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,36,9,4,3,18,13,0,108,0,0,1,1,4,30,13,29,10,1,0,37,2,100
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,20,7,9,5,27,16,2,54,1,1,1,0,1,18,9,27,7,1,2,38,2,64
10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,81,70,33,64,183,15,2,116,38,4,19,37,8,67,71,27,24,8,35,44,117,205
